x,y
299.938992,132.932934
290.667546,136.753950
282.237930,144.470422
288.262957,147.645761
293.055210,152.225889
290.073726,191.425783
296.714133,140.347101
294.672721,121.509928
287.219054,139.904253
291.389314,150.301494
299.088087,153.294381
301.792458,154.261733
290.910053,169.686548
303.413654,170.363315
288.538551,173.008678
306.460367,171.964603
306.649710,183.293679
313.861752,187.422080
323.441179,194.935535
306.297924,177.807224
305.961564,178.554858
308.284850,189.485471
306.187062,178.113085
305.663151,181.296008
304.434417,190.344186
315.268748,189.111042
315.046808,183.256395
307.320424,197.772194
326.257446,194.657291
296.378891,207.530900
292.726745,200.303706
305.394777,199.290509
301.350597,207.552522
313.177949,196.914893
294.245276,216.057138
292.351364,215.646334
288.452069,226.140635
304.536648,226.408564
305.237136,215.383167
290.858608,224.366383
283.492729,224.043899
301.146938,232.050186
251.475563,237.882501
270.560338,239.552385
263.285241,240.340460
232.208425,240.990107
237.803502,236.192354
245.970403,228.725034
233.882549,230.110875
226.171989,261.822525
218.861666,261.129949
228.305259,231.345322
240.846371,270.792309
278.922909,244.174756
267.763171,250.317433
282.113571,240.829494
272.937042,282.906045
263.017730,283.895201
301.312539,274.527092
293.493906,274.119315
289.012019,268.736579
293.447402,290.704888
301.252347,290.111425
291.576721,290.163333
299.925708,285.924283
339.931311,288.030751
313.391478,260.323825
332.725914,280.020859
342.296867,284.865712
357.395266,292.436672
347.314546,303.951877
369.295053,315.653045
381.420927,319.638044
390.709799,314.676060
361.961784,328.070297
392.325030,300.524427
388.541411,295.185459
422.466685,302.125372
424.389480,309.152719
430.109508,320.215055
447.198417,312.480104
469.924211,322.022782
477.060866,338.035533
439.407327,290.890664
445.660992,279.771490
432.763192,293.835602
430.683343,315.070919
435.404633,313.090775
444.097556,310.620877
440.200970,316.986181
435.475866,306.710038
433.755499,312.351518
456.700431,321.071228
448.855851,338.449368
448.227399,336.303374
452.442990,344.764988
446.636949,327.040241
463.919373,342.466016
454.076403,350.463249
450.959342,375.659902
436.149494,354.676185
440.661622,341.224428
429.019712,362.463410
437.599832,363.028767
428.623407,353.769480
387.189865,396.079926
429.603109,390.700839
428.054261,391.168360
439.023478,384.392479
431.792920,395.195977
429.572439,420.360685
440.499082,411.359202
428.383686,401.936451
409.278031,395.145335
412.836964,427.985354
387.717382,417.602358
389.123013,396.727508
382.775891,390.675773
429.101743,422.050856
407.574816,436.641991
417.235953,435.917797
405.013215,449.925122
399.762112,448.138062
391.845992,449.502781
382.764091,454.111586
373.460894,459.387168
370.483013,430.610384
375.117881,462.402523
359.235469,446.450984
356.388654,423.934156
332.633318,441.173986
322.267734,437.743744
302.631972,428.460970
282.780584,450.449742
291.200336,450.210169
286.120757,443.128876
270.791363,458.782595
286.563039,452.350146
288.009636,449.494238
277.819161,454.039555
263.085614,450.795771
258.705173,465.356040
259.956786,464.982714
267.473710,475.619957
244.803501,468.648639
250.908975,465.357210
291.735920,466.195723
275.035019,470.940180
276.470164,474.118862
281.612783,484.467359
262.659067,496.003530
276.252212,489.620035
261.689217,518.726735
289.263693,505.191206
288.829864,492.068796
252.689585,487.494575
300.045007,498.823450
310.192050,530.471669
295.560765,510.259155
294.795607,531.364382
293.958410,546.571684
331.840119,554.023293
318.235305,544.823356
332.891573,506.922205
352.262809,541.513401
403.919762,519.249303
347.885922,518.887601
424.670474,582.432240
353.666732,536.841656
392.319194,528.346737
422.932406,539.717347
426.336022,556.821776
420.531141,550.780917
416.880694,535.532369
447.916256,528.297059
446.948209,534.144784
433.012284,552.190543
427.835650,554.029401
440.387154,562.002025
443.180380,565.051776
448.510104,543.888905
464.507131,561.639094
453.768395,565.673281
443.799315,569.071485
448.515675,557.425314
460.509070,553.975203
475.657051,569.372172
470.525684,564.899499
472.613797,579.797718
