x,y
231.741924,94.194990
252.702778,111.706567
231.264416,100.536049
233.929349,89.404355
222.780879,104.025033
215.511743,87.985257
215.309224,105.844421
203.518046,88.797686
197.707660,71.928517
199.396186,92.242151
234.338567,62.267018
238.010062,55.280974
234.303666,55.359450
234.132187,54.469166
227.507076,73.376639
222.923317,41.090711
229.482354,16.311344
192.052337,31.143959
235.805280,11.296892
237.701079,8.883480
240.524066,9.443390
240.132480,22.241959
246.792381,16.967316
240.817100,16.435727
240.675487,8.161934
249.343760,20.924160
248.160320,44.925364
241.092658,28.461005
245.638336,23.715836
246.225848,33.031755
249.739763,8.515004
249.349142,34.158311
253.936240,31.474166
238.540473,38.649088
247.743210,42.065750
237.309121,38.265329
243.841601,52.661448
260.575324,63.163040
224.797644,71.214671
253.517891,59.230186
235.005083,62.627613
238.831653,75.366555
253.281688,81.078326
249.946668,72.844524
265.910062,83.851197
237.783759,111.149062
266.011371,107.447517
234.895712,94.587944
232.746811,104.205528
241.837218,124.789003
275.534443,83.035345
240.370908,130.878655
289.651885,170.027629
267.215143,176.037669
270.652449,141.291130
291.463671,173.187968
233.780148,177.363756
268.075910,178.940611
212.113243,193.053242
219.865391,204.513004
251.297209,228.384625
233.340049,223.558450
255.321240,236.390388
247.314965,269.445788
259.571490,285.531588
254.989024,289.269305
249.584612,297.542007
250.252677,284.018231
252.768146,291.268386
238.732630,302.584551
260.852661,300.386212
252.542033,298.666629
244.275855,317.836951
265.578930,338.169394
249.103236,317.696889
252.619458,332.824078
251.132913,346.489636
240.995686,328.709131
255.904691,350.874800
250.372173,354.579826
253.947242,343.651331
251.576347,370.805961
257.764129,387.363627
260.270549,371.330695
263.145620,385.680880
241.427430,385.502018
248.008278,393.572867
241.668719,386.782356
249.202386,437.412019
227.353243,406.973497
233.738104,421.338921
260.130288,434.532449
251.559524,433.058914
235.113763,440.014933
237.528450,445.097710
244.419775,458.610101
247.686349,474.926519
238.158285,470.541546
238.537342,471.692707
234.865502,473.421748
238.833873,493.482500
230.007436,487.253855
239.550809,493.211111
235.344305,495.905505
220.571394,495.817144
224.838896,501.464116
228.799896,516.926679
234.663546,517.355263
218.773368,534.751608
200.829188,534.207981
221.498253,537.753700
229.862544,536.141302
228.643506,549.206539
206.984877,548.240541
204.422513,554.050751
207.792219,550.862517
198.750633,571.932107
183.798988,568.199184
212.615953,568.922913
200.193972,579.520052
194.263588,567.345351
206.078738,587.071383
189.642002,601.296221
185.137689,610.693782
193.180981,603.285657
207.464491,622.918962
180.908667,617.951800
206.030181,633.880602
197.211204,646.425018
184.234445,658.328427
186.049898,646.171634
191.164488,651.824912
181.985415,646.696539
189.138750,661.518294
186.795964,666.744510
172.591799,683.828292
179.537143,703.402215
163.168829,695.475050
172.558980,684.697724
186.670024,709.519778
172.500398,704.491893
162.992617,709.850221
172.882555,719.895029
159.756104,721.065869
176.511499,750.530170
158.445556,743.220357
166.517777,745.863002
164.154431,752.475297
168.402794,775.132617
175.853664,771.664243
161.367214,774.296537
180.073979,783.412514
165.687162,787.303248
162.960148,792.958024
166.085123,798.756131
183.764228,800.639772
182.074041,799.877578
178.538339,783.533749
205.407188,834.860787
192.538111,819.113283
185.488315,817.501162
181.171099,818.217400
190.929069,834.285130
192.397968,812.542906
214.684637,838.910806
197.074859,847.221794
192.740112,858.416457
191.025424,883.758574
184.796400,853.879216
194.837498,881.734076
182.240687,842.158341
181.068844,876.538749
187.118828,819.199648
182.600958,832.791663
190.640765,905.854914
171.140919,873.276527
172.393527,870.708197
234.205339,918.121956
200.553290,887.390980
190.208461,907.145979
236.763420,935.536687
212.769284,914.136489
217.853256,928.688117
240.600758,922.884020
230.820753,899.157192
249.322402,930.999322
254.875004,867.870564
266.439710,914.270411
270.980241,907.693272
284.410453,895.353879
290.085166,898.536663
304.029258,896.347137
266.866754,924.684623
299.593409,946.034996
258.831073,949.101870
262.079757,936.713373
260.536996,948.221542
227.099930,915.533862
256.028833,896.565388
313.377905,914.300856
320.629238,907.653141
316.925606,911.994789
312.400287,901.323417
329.077744,892.363101
339.546853,899.379984
346.927598,902.082374
351.921861,906.279487
350.357597,903.900411
344.273431,905.993768
346.678591,894.019291
347.716306,882.020638
349.693509,898.921794
353.390276,883.816107
348.048998,886.779175
344.049831,883.033199
340.814984,884.191264
341.781860,885.034616
343.441666,886.768495
346.038170,865.816062
331.951794,867.666056
