x,y
1112.298279,671.402507
1112.298279,671.402507
1113.553264,673.389188
1115.530001,672.555078
1121.470207,677.165499
1126.622927,679.196437
1129.960249,670.246398
1128.538175,667.132564
1130.454788,670.066085
1132.781675,672.204230
1133.466980,669.032334
1135.269267,669.205695
1135.264006,667.833563
1137.780865,664.616135
1141.984987,658.511553
1147.381545,653.789417
1147.972222,644.944701
1144.194866,634.168102
1138.139848,624.198997
1130.724739,608.498237
1124.786699,592.047838
1117.949043,580.226593
1112.730201,567.922125
1106.384402,551.471883
1100.422838,537.604882
1094.222177,522.484364
1090.854885,504.577617
1088.577683,491.277621
1085.856975,475.947677
1083.832304,460.305971
1082.964787,451.649326
1084.355672,447.400548
1084.683869,447.476723
1087.533786,448.795642
1089.196345,452.741863
1088.644254,459.172784
1088.172421,469.119750
1086.905415,482.659236
1088.530137,494.280201
1086.008191,501.913285
1082.157714,507.970101
1079.461595,510.432637
1073.521980,512.573564
1066.941966,508.246472
1064.586810,496.169402
1062.264816,482.047023
1061.169635,461.397256
1058.890189,446.395642
1053.965934,429.358667
1049.967176,415.364995
1041.296752,401.133064
1026.895863,386.863609
1015.396386,370.545907
1003.953488,356.980526
992.753841,341.157726
979.437066,327.400175
965.788768,318.229870
954.261763,313.419432
943.527065,309.663654
934.027052,303.129455
928.619928,300.233995
924.816132,304.721179
926.411485,315.149321
927.065885,330.362295
929.526787,346.379726
934.374716,368.150088
939.922299,385.912379
946.380409,405.344140
964.763568,421.926523
972.028845,437.814239
976.350490,451.015565
981.323388,470.391197
991.092943,489.956963
1001.595012,508.772603
1016.648823,536.512412
1033.230384,564.729726
1049.836141,581.945196
1063.850646,592.490648
1075.804360,600.756868
1085.350555,614.651544
1096.634084,628.076053
1109.790978,641.525606
1120.315978,648.173760
1131.060496,649.543122
1137.370596,644.294679
1149.361394,640.357393
1157.451398,633.882439
1161.394754,620.883733
1165.134657,608.438682
1165.611118,594.717451
1162.928824,577.481494
1157.994443,559.739479
1152.372218,538.396292
1153.761665,532.308943
1152.730026,534.762456
1153.265651,535.462901
